Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Colegio Público Plácido Domingo,Calle Tejo 5,Méndez Álvaro,Calle Retama nº 5,13
Colegio Público Portugal,Calle Juan Alvarez Mendizabal 20,Ventura Rodríguez,Calle Duque de Liria,0
Colegio Público Pradolongo,Calle Parque De La Paloma 9,San Delfín,Calle San Delfín nº 9,17
Colegio Público Príncipe de Asturias,Calle Kant 2,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Puerto Rico,Calle Segura 74,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Pío Baroja,Calle Luis De Hoyos Sainz 84,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Pío XII,Calle Delfin 2,Remonta,Calle Azucenas nº 1,12
Colegio Público Rabindranath Tagore,Calle Julio Palacios 35,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Ramiro de Maeztu,Calle Serrano 127,Serrano 113,Calle Serrano nº 113B,8
Colegio Público Ramón Gómez de la Serna,Calle Godella 170,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Ramón María del Valle Inclán,Calle Alconera 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Ramón Pérez de Ayala,Calle Motilla Del Palancar 19,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Real Armada,Calle Corregidor Juan Francisco De Lujan 114,Marroquina,Calle Camino de los Vinateros nº 108,16
Colegio Público Regimiento Inmemorial del Rey,Avenida Moratalaz 51,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Colegio Público Reina Victoria,Calle Principe De Vergara 61,Diego de León 52,Calle Diego de León nº 52,16
Colegio Público República Dominicana,Ronda Don Bosco 2,Caramuel,Calle Caramuel nº 51,5
Colegio Público República de Brasil,Avenida Fueros 34,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público República de Chile,Calle Castillo De Ucles 28,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público República de Colombia,Plaza Alloz 3,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público República de Ecuador,Calle Valle De Oro 41,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público República de El Salvador,Calle Sacedon 2,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público República de Panamá,Calle Peones 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público República de Paraguay,Calle Manresa 60,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público República de Uruguay,Avenida Nuestra Señora De Valvanera 120,Caramuel,Calle Caramuel nº 51,5
Colegio Público República de Venezuela,Calle Cerecinos 8,San Delfín,Calle San Delfín nº 9,17
Colegio Público Rosa Luxemburgo,Calle Bardegueral 16,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Público Rufino Blanco,Calle General Alvarez De Castro 46,Canal,Calle José Abascal frente al nº 2,8
Colegio Público Sagunto,Calle Paterna 14,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público San Benito,Calle Juan Perez Zuñiga 36,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público San Carlos,Calle Villastar 8,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público San Cristóbal,Calle Bravo Murillo 41,Canal,Calle José Abascal frente al nº 2,8
Colegio Público San Eugenio y San Isidro,Calle Peñuelas 31,Paseo de la Esperanza,Paseo de la Esperanza nº 21,9
Colegio Público San Ignacio de Loyola,Avenida Abrantes 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público San Ildefonso,Calle Alfonso Vi 1,Segovia 26,Calle Segovia nº 26,8
Colegio Público San Isidoro,Calle Fuenterrabia 15,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,7
Colegio Público San Juan Bautista,Calle Sorzano 1,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Colegio Público San Juan Bosco,Calle Santa Irene 2,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Colegio Público San Juan de la Cruz,Calle Honduras 10,Pío XII,Avenida Pío XII nº 3,17
Colegio Público San Miguel,Avenida Virgen Del Carmen 32,Pío XII,Avenida Pío XII nº 3,17
Colegio Público San Pablo,Plaza Pe&Amp;Ntilde;A Morraz 1,Sierra Toledana,Camino de Valderribas nº 94,19
Colegio Público San Roque,Calle Oxigeno 43,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Santa María,Calle Casino 7,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,9
Colegio Público Santo Domingo,Calle San Feliu De Guixols 7,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Tirso de Molina,Calle Bronce 1,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Tomás Bretón,Calle Alejandro Dumas 4,Pirámides,Calle Toledo nº 181,5
Colegio Público Valdebernardo,Calle Tren De Arganda 9,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Vasco Núñez de Balboa,Calle Nuestra Señora De Valverde 149,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Vicálvaro,Calle Forges 15,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Virgen del Cerro,Calle Mohernando 1,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Colegio Público Virgen del Cortijo,Avenida Manoteras 63,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público Vázquez de Mella,Calle Bailen 18,Plaza de San Francisco,Plaza de San Francisco nº 5,10
Colegio Público Winston Churchill,Avenida Gran Via Del Este 5,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público de Educación Especial Cátedra de Pediatría Hospital Clínico,Calle Profesor Martin Lagos 2,Hospital Clínico,Calle Isaac Peral nº 44,4
Colegio Público de Educación Especial Francisco del Pozo,Callejon Domine 6,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público de Educación Especial Fray Pedro Ponce de León,Calle Los Yebenes 76,Caramuel,Calle Caramuel nº 51,5
Colegio Público de Educación Especial Fundación Goyeneche,Calle Arcos De Jalon 22,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público de Educación Especial Hospital Gregorio Marañón,Calle O'Donnell 50,O'Donnell,Calle O'Donnell nº 50,5
Colegio Público de Educación Especial Hospital del Niño Jesús,Avenida Menendez Pelayo 65,Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63,18
Colegio Público de Educación Especial Infanta Elena,Avenida Badajoz 76,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público de Educación Especial Inmaculada Concepción,Calle Saldaña 30,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público de Educación Especial Joan Miró,Avenida Poblados 183,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público de Educación Especial María Soriano,Avenida Peseta 30,Caramuel,Calle Caramuel nº 51,5
Colegio Público de Educación Especial Princesa Sofía,Carretera Canillas 51,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público de Educación Especial Vallecas,Carretera Valencia (Recinto Universitario) 7,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público de Prácticas Asunción Rincón,Avenida Filipinas 5,Parque Santander,Calle Santander esquina con Avenida de Filipinas,3
Colegio Público Álvaro de Bazan,Calle Zurich 10,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Rafaela Ybarra,Avenida Rafaela Ybarra 73,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Raimundo Lulio,Avenida San Diego 63,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Ramón y Cajal,Calle Arturo Soria 206,Colombia,Calle Colombia nº 7,6
Colegio Reggio,Calle Quintanapalla 10,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Reinado del Corazón de Jesús,Calle Walia 21 Otra Entrada Por C/ Homero 33,Niño Jesús,Calle Doctor Esquerdo nº 161,6
Colegio Retiro,Calle Poeta Esteban De Villegas ,Menéndez Pelayo,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,10
Colegio Sagrada Familia de Urgel,Avenida Palomeras 88,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Sagrada Familia. Calle Jorge Juan,Calle Jorge Juan 165,Marqués de Zafra,Paseo Marqués de Zafra nº 24,1
Colegio Sagrada Familia. Calle Oberón,Calle Oberon 6,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Sagrado Corazón de Jesús. Calle Ferraz,Calle Ferraz 63,Paseo de Moret,Paseo de Moret nº 11,13
Colegio Sagrado Corazón de Jesús. Calle Valderribas,Calle Valderribas 2,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,7
Colegio Sagrado Corazón de Jesús. Paseo General Martínez Campos,Paseo General Martinez Campos 6 Otra Entrada: C/ Rafael Calvo S/N,Santa Engracia 87,Calle Santa Engracia nº 87,9
Colegio Sagrado Corazón. Avenida Alfonso XIII.,Avenida Alfonso Xiii 127,Colombia,Calle Colombia nº 7,6
Colegio Sagrado Corazón. Calle Don Pedro,Calle Don Pedro 14,Plaza de San Francisco,Plaza de San Francisco nº 5,10
Colegio Sagrado Corazón. Calle San Jaime,Calle San Jaime 21,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Sagrado Corazón. Calle Santa Magdalena Sofía,Calle Santa Magdalena Sofia 12,Chamartín,Calle Rodríguez Jaén nº 40,7
Colegio Sagrado Corazón. Paseo Santa María de la Cabeza,Paseo Santa Maria De La Cabeza 115,San Delfín,Calle San Delfín nº 9,17
Colegio Sagrado Corazón. Plaza Madre María Ana Mogas,Plaza Madre Maria Ana Mogas 6,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Sagrados Corazones. Calle Martín de los Heros,Calle Martin De Los Heros 91,Altamirano,Calle Altamirano nº 24,10
Colegio Sagrados Corazones. Calle Pan y Toros,Calle Pan Y Toros 45,Embajadores 191,Calle Sodio nº 1B,11
Colegio Salesianos Atocha,Ronda Atocha 27,Casa Encendida,Ronda de Atocha nº 34,22
Colegio San Agustín,Calle Padre Damian 18,Doctor Fleming,Calle Doctor Fleming nº 7,8
Colegio San Alberto Magno,Travesia Ivan De Vargas 1,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Colegio San Alfonso,Calle Meson De Paredes 78,Embajadores 2,Glorieta de Embajadores nº 2,18
Colegio San Antonio,Calle Bravo Murillo 150,Estrecho,Calle Navarra nº 1,0
Colegio San Bernardo,Avenida Manzanares 20,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Colegio San Buenaventura,Calle El Greco 16,Caramuel,Calle Caramuel nº 51,5
Colegio San Estanislao de Kostka (SEK) Santa Isabel,Calle San Ildefonso 18,Santa Isabel,Calle Atocha nº 95,17
Colegio San Eulogio,Calle La Revoltosa 17,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio San Fermín,Calle Estafeta 17,Embajadores 191,Calle Sodio nº 1B,11
Colegio San Francisco,Calle Fortaleza 2,Facultad Derecho,Avenida Complutense nº 23,8
Colegio San Francisco de Asís,Calle Madre Carmen Del Niño Jesus 7,Serrano 210,Calle Serrano nº 210,6
Colegio San Gabriel,Calle Eugenia De Montijo 92,Caramuel,Calle Caramuel nº 51,5
Colegio San Jaime Apóstol,Calle Juan Jose Martinez Seco 54,Embajadores 191,Calle Sodio nº 1B,11
Colegio San Javier,Paseo Santa Maria De La Cabeza 85,Puente Praga,Paseo de la Esperanza nº 59,11
Colegio San José - Lucero,Calle Palmipedo 12,Caramuel,Calle Caramuel nº 51,5
Colegio San José de Begoña,Calle Marcos De Orueta 15,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio San José del Parque,Avenida Champagnat 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio San José. Calle Emilio Ferrari,Calle Emilio Ferrari 87,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio San José. Calle Francisco Laguna,Calle Francisco Laguna 21,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio San José. Calle Marqués de Viana,Calle Marques De Viana 43,Metro Tetuán,Calle Marqués de Viana nº 3,5
Colegio San José. Calle Moreno Nieto,Calle Moreno Nieto 1,Segovia 45,Calle Segovia nº 45,18
Colegio San José. Calle Pedro Escudero,Calle Pedro Escudero 21,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio San Juan Bautista,Calle Francos Rodriguez 5,Estrecho,Calle Navarra nº 1,0
Colegio San Juan García,Calle Camarena 57,Caramuel,Calle Caramuel nº 51,5
Colegio San Luis Felca,Calle Dolores Barranco 65,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio San Martín,Avenida Doctor Garcia Tapia 124,Marroquina,Calle Camino de los Vinateros nº 108,16
Colegio San Miguel Arcángel,Calle Repulles Y Vargas 11,Caramuel,Calle Caramuel nº 51,5
Colegio San Patricio,Calle Serrano 200 Otra Entrada Por C/ Sil 23,Serrano 210,Calle Serrano nº 210,6
Colegio San Pedro,Calle Jose Del Pino 53,Embajadores 191,Calle Sodio nº 1B,11
Colegio San Pedro Apóstol,Calle Babilonia 19,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio San Rafael Arcángel y Santa Luisa,Calle Otero Y Delage 105,Facultad Derecho,Avenida Complutense nº 23,8
Colegio San Ramón y San Antonio,Calle Rodriguez Marin 57,Parque Berlín,Avenida de Concha Espina nº 34,5
Colegio San Saturio,"Calle Sebastian Herrera 23 Otra Entrada Por C/ Sebastian Elcano, 18",Casa Encendida,Ronda de Atocha nº 34,22
Colegio San Viator,Plaza Fernandez Ladreda 2,San Delfín,Calle San Delfín nº 9,17
Colegio San Vicente,Calle Butron 33,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Santa Ana,Avenida Alfonso Xiii 162,Pío XII,Avenida Pío XII nº 3,17
Colegio Santa Ana y San Rafael,Calle Doctor Esquerdo 53,Jorge Juan,Calle Jorge Juan nº 131,8
Colegio Santa Beatriz de Silva,Calle Alfonso Martinez Conde 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Santa Bárbara,Plaza Paja 4,Plaza de los Carros,Carrera de San Francisco nº 1,12
Colegio Santa Catalina de Sena,Avenida Alfonso Xiii 160,Pío XII,Avenida Pío XII nº 3,17
Colegio Santa Cruz. Calle Miguel Fleta,Calle Miguel Fleta 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Santa Elizabeth,Calle Viera Y Clavijo 14,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Colegio Santa Francisca Javier Cabrini,Calle Santa Francisca Javier Cabrini 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Santa Gema Galgani,Calle Escalona 59,Caramuel,Calle Caramuel nº 51,5
Colegio Santa Isabel,Calle Hortaleza 77,Hortaleza,Calle Hortaleza nº 75,0
Colegio Santa Joaquina Vedruna,Travesia Costa Brava 3,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Santa María,Calle Tolosa 6,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Santa María Micaela,Calle Via Carpetana 105,Caramuel,Calle Caramuel nº 51,5
Colegio Santa María de la Hispanidad,Calle Armonia 22,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Santa María de los Apóstoles,"Plaza Grosella 4 C/V C/ Madre Nazaria, 5",Caramuel,Calle Caramuel nº 51,5
Colegio Santa María de los Pinos,Calle Angelillo 9 Tambien C/ Santa. Cruz De Retamar 5 Y 14,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Santa María de los Rosales,Calle Virgen De Los Rosales 1,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Santa María del Bosque,Calle Gaviota 14,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Santa María del Camino,Calle Peguerinos 13,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Santa María del Carmen,Calle Misterios 38,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Santa María del Pilar,Calle Reyes Magos 3,Pío Baroja,Calle Pío Baroja nº 10,14
Colegio Santa María del Valle Cep,Calle Vitruvio 19,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Colegio Santa María del Yermo,Calle Gaztambide 91,Hospital Clínico,Calle Isaac Peral nº 44,4
Colegio Santa María la Blanca,Calle Monasterio De Oseira 17,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Santa Rafaela María,Calle Santa Rafaela Maria Del Sagrado Corazon 112,Méndez Álvaro,Calle Retama nº 5,13
Colegio Santa Rita,Calle Eugenia De Montijo 53,Caramuel,Calle Caramuel nº 51,5
Colegio Santa Rosa de Lima,Carretera Canillas 43,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Santa Susana,Calle Pedro Heredia 28,Alcalá-Ventas,Calle Alejandro González nº 1,4
Colegio Santo Domingo,Glorieta Presidente Garcia Moreno 3,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Santo Domingo Savio,Calle Santo Domingo Savio 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Santo Ángel,Calle Arroyo Fontarron 209,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Santo Ángel de la Guarda. Calle Alcalá,Calle Alcala 587,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Santo Ángel de la Guarda. Calle Villuercas,Calle Villuercas 4,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Santísimo Sacramento. Calle Arturo Soria,Calle Arturo Soria 208,Colombia,Calle Colombia nº 7,6
Colegio Scuola Materna Italiana de Madrid,Calle Agustin De Betancourt 1,Agustín de Betancourt,Calle María de Guzmán nº 58,1
Colegio Scuola Statale Italiana de Madrid,Calle Agustin De Betancourt 1,Agustín de Betancourt,Calle María de Guzmán nº 58,1
Colegio Senara,Avenida Moratalaz 178,Marroquina,Calle Camino de los Vinateros nº 108,16
Colegio Siglo XXI,Calle Lituania 8,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Colegio Stella Maris,Calle Arturo Soria 71,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Stella Maris &amp; Prep School,Calle Valdesqui 16,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Stella Maris La Gavia,Calle Peñaranda De Bracamonte 9,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio T.E.M.S.,Calle La Salle 23,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Tajamar,Calle Pio Felipe 12,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Colegio Timón,Calle Rusia 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Torrevilano,Calle Embalse De Navacerrada 9,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Trabenco,Calle Reguera De Tomateros 103,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Tres Olivos,Calle Casildea De Vandalia 3 Urbanizacion Tres Olivos,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Trilema Avenida de América,Calle Agustin Duran 20,Diego de león,Calle Alonso Heredia nº 1,5
Colegio Trilema Safa,Calle Mercedes Formica 32,Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,2
Colegio Union Chretienne de St. Chaumond (Francés),Calle Rodriguez Marin 30,Doctor Arce 45,Avenida del Doctor Arce nº 45,1
Colegio Universitario de Estudios Financieros,Calle Pirineos 55,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Colegio Valdecás,Calle Javier De Miguel 17,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Valdefuentes,Calle Ana De Austria 6,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Valdeluz,Calle Fermin Caballero 53,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Vedruna. Calle Espinar,Calle Espinar 41,Caramuel,Calle Caramuel nº 51,5
Colegio Vedruna. Calle Santa Joaquina Vedruna,Calle Santa Joaquina De Vedruna 3,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Villamadrid,Calle Transversal Sexta 17,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Virgen Milagrosa,Calle Mar De Coral 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Virgen de Atocha,Avenida Ciudad De Barcelona 1,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,7
Colegio Virgen de Mirasierra,Calle La Maso 103,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Virgen del Pilar,Calle Melchor Fernandez Almagro 70,Remonta,Calle Azucenas nº 1,12
Colegio Willoughby  College,Calle Macarena 37,Pío XII,Avenida Pío XII nº 3,17
Colegio Wisdom School Madrid,Calle Jose Rodriguez Pinilla 12,Pío XII,Avenida Pío XII nº 3,17
Colegio Zazuar,Calle Zazuar 17,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio británico Dallington School,Ronda Sobradiel 20,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
